age,bigwinner,education,male,tixbot,winner,workthen,xearn1,xearn2,xearn3,xearn4,xearn5,xearn6,xearnp1,xearnp2,xearnp3,xearnp4,xearnp5,xearnp6,yearlpr,yearn1,yearn2,yearn3,yearn4,yearn5,yearn6,yearn7,yearnp1,yearnp2,yearnp3,yearnp4,yearnp5,yearnp6,yearnp7,yearw
25,0,12,1,10,1,1,0,0,0,1.106548604,4.290289963,6.275,0,0,0,1,1,1,53.81625317,5.667169014,8.104655959,6.486729032,7.81958684,7.752469897,6.770514612,7.355714879,1,1,1,1,1,1,1,1987
72,0,12,1,1,0,0,16.97139394,12.0107767,4.576915292,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
73,0,13,1,3,0,1,0,0,0,7.239542169,26.06876612,19.04147212,0,0,0,1,1,1,0,16.52,4.885690141,0,0,0,0,0,1,1,0,0,0,0,0,1986
64,0,12,1,10,1,0,35.80990099,36.79834197,27.1271004,39.87372474,35.40100372,42,1,1,1,1,1,1,53.49078169,42.258,7.431120879,0,0,0,0.075774768,0,1,1,0,0,0,1,0,1987
57,0,14,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29.10496095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
51,0,16,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11.45655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
61,0,16,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.27694366,5.719952663,3.904941935,0.909839327,0,0,0,1,1,1,1,0,0,1986
46,0,16,1,4,0,1,0,0,0,0.695079793,0.91773494,2.174067372,0,0,0,1,1,1,0,1.873182156,0.953,0,6.670498732,11.97645161,11.06901301,1.207048458,1,1,0,1,1,1,1,1985
47,0,14,1,1,0,1,28.06770874,28.79140154,31.72266943,33.23432932,33.1120693,33.74681784,1,1,1,1,1,1,0,34.948,33.87276761,33.1810989,33.30779355,32.0875593,28.90237298,32.39176051,1,1,1,1,1,1,1,1986
42,0,16,0,5,1,0,17.65677135,8.161475728,4.751744774,4.339705699,0,0,1,1,1,1,0,0,24.10909703,0,0.214,0,0,0,1.437294568,2.322361233,0,1,0,0,0,1,1,1985
38,0,12,0,4,1,0,0,0,0,0,0,0.199368624,0,0,0,0,0,1,9.814394796,0.128342007,0,3.807056338,16.01197633,16.26410968,16.93391278,18.21033774,1,0,1,1,1,1,1,1985
37,0,14,1,2,1,1,3.613544554,8.602180311,12.78776707,13.90200577,20.21692193,23.813,1,1,1,1,1,1,31.65954225,22.5625493,22.63615216,26.57004516,26.83313236,26.0698326,30.35677833,30.78963599,1,1,1,1,1,1,1,1987
34,0,12,0,4,1,1,4.645168044,2.364912621,0.142275028,3.581023834,2.883052209,3.805936477,1,1,1,1,1,1,17.03414201,6.187918216,9.36,10.15054225,9.864,7.368832258,9.286231064,13.58412335,1,1,1,1,1,1,1,1985
24,0,14,0,2,1,1,0,0.688396694,2.49792233,1.187634763,1.913740933,6.261285141,0,1,1,1,1,1,10.04965544,8.968423484,15.51512268,17.36,20.86838028,18.05666948,15.05762581,16.94481408,1,1,1,1,1,1,1,1984
69,0,16,1,5,0,1,36.783,39.284,39.874,40.336,42,42.257,1,1,1,1,1,1,0,41.69061708,42.42580645,7.848936496,7.821674009,7.968068425,18.05176471,17.74898785,1,1,1,1,1,1,1,1988
61,0,16,0,2,0,1,3.640475728,3.39410341,3.432240415,3.577405622,3.623445621,3.511070632,1,1,1,1,1,1,0,3.246,3.14328169,0.652226543,0,0,0,0,1,1,1,0,0,0,0,1986
55,0,12,1,10,1,1,36.783,36.70066736,34.02661847,35.18381521,41.08879554,40.263,1,1,1,1,1,1,41.7676338,40.22011268,41.68505833,41.84952258,40.29456159,9.150232012,5.047224519,6.799750865,1,1,1,1,1,1,1,1987
48,0,16,0,6,0,1,34.44951456,35.80990099,36.79834197,39.28433735,39.87372474,40.33605948,1,1,1,1,1,1,0,42,42.25774648,41.69061708,42.42580645,43.01820964,42.97092511,43.35566643,1,1,1,1,1,1,1,1986
47,0,12,0,5,1,1,21.09724518,19.73864078,18.62958856,18.71150259,19.7246988,19.56766121,1,1,1,1,1,1,22.76950186,22.29687732,31.475,32.32042254,37.44651226,36.48884516,37.56168936,38.8323583,1,1,1,1,1,1,1,1985
43,1,15,1,10,1,1,0,0,14.19213592,7.287375138,2.546354404,14.49448996,0,0,1,1,1,1,159.1095057,0.897686237,1.546215613,3.751,0,0,0,0,1,1,1,0,0,0,0,1984
48,0,9,1,10,1,1,30.73056311,26.52344114,22.07105492,20.71065863,29.66373051,26.26834944,1,1,1,1,1,1,1.139,28.111,32.76229577,31.63484024,27.79950968,32.45317215,28.74867548,27.1304918,1,1,1,1,1,1,1,1986
46,0,11,1,1,0,1,23.29331573,24.44704663,28.83382329,26.23965351,29.22225279,29.523,1,1,1,1,1,1,0,30.63493662,27.44076416,40.19845161,9.708866106,15.48240822,17.0993186,18.28385882,1,1,1,1,1,1,1,1987
47,0,16,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
42,0,14,1,2,0,1,34.77539274,36.79834197,39.28433735,39.87372474,40.33605948,42,1,1,1,1,1,1,0,42.25774648,41.69061708,42.42580645,43.018,42.97092511,41.61128439,43.6883045,1,1,1,1,1,1,1,1987
42,0,16,1,2,0,1,13.21710891,4.599792746,4.731726908,4.852358037,7.480505576,6.096,1,1,1,1,1,1,0,4.788246479,3.648392223,2.209677419,0.419280796,1.207048458,2.027170349,1.012567474,1,1,1,1,1,1,1,1987
38,0,14,0,2,1,1,0,0.770281124,5.64666795,6.590260223,8.719,11.35073944,0,1,1,1,1,1,33.83693863,14.40364497,15.23086452,15.8790023,16.41424963,0,1.857511419,9.350018893,1,1,1,1,0,1,1,1988
39,0,12,1,6,1,1,14.71252228,18.13131727,18.23959192,22.05037918,27.934,26.90795775,1,1,1,1,1,1,11.92592527,18.21972612,23.77612903,24.04407651,23.80540969,24.41041197,24.12944498,24.62672065,1,1,1,1,1,1,1,1988
36,0,14,1,2,1,1,12.12352035,14.69775751,15.64110843,14.88197113,2.253115242,0,1,1,1,1,1,0,11.30418838,0,13.56427388,2.985716129,5.339121653,32.60318355,15.03387028,14.96172734,0,1,1,1,1,1,1,1987
36,0,16,0,2,0,1,17.14495146,18.80924092,19.3759171,21.85837751,24.08457363,28.51637175,1,1,1,1,1,1,0,28.474,0,0,0,0,0,0,1,0,0,0,0,0,0,1986
34,0,12,1,6,1,1,13.28829016,15.77095582,16.35244658,14.4089368,21.036,25.71933803,1,1,1,1,1,1,76.11316991,28.8591716,10.1866129,5.7223443,6.190549192,15.67053457,1.281068512,0,1,1,1,1,1,1,0,1988
78,0,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
74,0,9,0,5,1,1,10.63445545,4.599792746,4.5897751,5.221559192,0,0,1,1,1,1,0,0,19.90986268,3.898711268,3.60484869,3.372851613,3.480030604,3.476299559,0.846802566,0,1,1,1,1,1,1,0,1987
62,0,16,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
61,0,9,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23.88475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
59,0,12,1,3,0,1,34.44951456,35.80990099,36.79834197,39.28433735,39.87372474,40.33605948,1,1,1,1,1,1,0,42,30.13710563,33.91855959,34.61857419,32.03305279,34.06693098,34.54001426,1,1,1,1,1,1,1,1986
61,1,10,1,5,1,1,0.96831068,0,2.909794819,10.61117269,12.07920693,2.834728625,1,0,1,1,1,1,264.351,0,0,3.113825866,12.78519355,5.289646519,10.61800294,15.05183749,0,0,1,1,1,1,1,1986
61,0,12,0,2,0,1,4.21640484,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
53,0,12,0,2,1,1,15.16227979,19.25262651,21.48223292,22.00759851,23.054,22.53457042,1,1,1,1,1,1,50.44194083,22.05989518,19.33114194,28.23688447,1.575600587,3.127076265,3.219737024,1.152944669,1,1,1,1,1,1,1,1988
50,1,12,1,1,1,1,28.6258292,34.44951456,30.9399956,36.79834197,39.28433735,38.86949759,1,1,1,1,1,1,130.2633688,9.833442379,0,0,0,0,0,0,1,0,0,0,0,0,0,1985
47,0,14,1,1,0,1,0,20.24738956,21.49278152,22.51078067,23.4,18.66866197,0,1,1,1,1,1,0,17.78799662,19.40096774,19.62234124,17.01938326,20.02016251,19.98664083,21.3342834,1,1,1,1,1,1,1,1988
44,0,13,1,2,0,1,27.73665014,26.97303883,27.8159736,27.71801036,29.18925301,33.54034264,1,1,1,1,1,1,0,35.73000743,36.166,36.70828169,35.7872257,34.01135484,31.94081102,32.18393539,1,1,1,1,1,1,1,1985
38,0,16,1,2,0,1,35.80990099,35.20829016,39.28433735,39.87372474,40.33605948,42,1,1,1,1,1,1,0,42.25774648,41.69061708,42.42580645,43.018,42.97092511,43.35566643,43.6883045,1,1,1,1,1,1,1,1987
43,0,14,1,2,0,1,0,0,31.56247931,40.336,42,42.257,0,0,1,1,1,1,0,41.69061708,42.42580645,43.018,42.97092511,43.35566643,43.688,44.816,1,1,1,1,1,1,1,1988
41,0,12,0,2,0,1,0,0,0.891357074,3.379672862,4.083,3.540774648,0,0,1,1,1,1,0,3.865183432,5.140593548,5.516058148,5.205597651,2.41073129,0,0,1,1,1,1,1,0,0,1988
38,0,16,1,3,1,1,27.0467438,26.35587379,25.15374257,23.3192456,11.58722892,0,1,1,1,1,1,0,11.24576468,0,0.665,0,0.540125106,0,0,1.535365639,0,1,0,1,0,0,1,1985
42,0,16,0,3,0,1,32.07248083,38.20594378,39.874,40.336,42,42.257,1,1,1,1,1,1,0,42.258,42.426,43.018,43.018,43.35566643,39.31568166,44.816,1,1,1,1,1,1,1,1988
39,0,12,1,0,0,1,22.82790759,23.97230259,26.72325301,30.98019634,30.05342007,26.862,1,1,1,1,1,1,0,25.83125352,29.85140828,29.3789871,27.26331446,27.54162702,27.30391447,28.7690519,1,1,1,1,1,1,1,1987
31,0,16,0,2,1,1,5.095601942,7.011265127,10.80553782,11.31432932,11.87561886,5.705107807,1,1,1,1,1,1,22.6028,2.889,0.441873239,2.951695689,10.32184516,14.99264269,12.74643172,18.2046928,1,1,1,1,1,1,1,1986
57,0,16,1,3,1,1,27.84635026,33.99800803,34.3546949,32.58766543,42,35.43958451,1,1,1,1,1,1,25.01437025,33.20055452,15.00105806,14.84170161,15.61437885,16.75247327,17.04829896,0.380124157,1,1,1,1,1,1,1,1988
34,0,14,1,2,0,1,15.13118447,20.85776018,24.2914487,25.59314056,29.0719538,31.34804461,1,1,1,1,1,1,0,33.94,34.15641549,35.21096872,35.46355484,34.87242234,34.7605815,35.6430449,1,1,1,1,1,1,1,1986
32,0,16,0,1,0,1,16.25032953,17.23338956,19.16048508,22.20011152,24.316,30.08597183,1,1,1,1,1,1,0,28.36722232,30.39897419,28.72828156,31.40820558,32.63314612,37.38839031,44.816,1,1,1,1,1,1,1,1988
28,1,12,1,10,1,1,9.77959956,19.23621969,3.195566265,11.8587411,0,25.169,1,1,1,1,0,1,119.3723451,16.45833099,17.38498732,4.741967742,1.204174445,0,0,0.24043737,1,1,1,1,0,0,1,1987
27,0,16,1,1,1,1,0.848827283,0.411141969,0,0,0,2.98,1,1,0,0,0,1,16.38023134,19.29577465,24.2250279,27.71554194,30.05824024,31.13380323,38.17251604,40.23874879,1,1,1,1,1,1,1,1987
71,0,14,1,2,0,1,19.19419689,19.91726908,21.2026949,22.77561338,22.36,7.496408451,1,1,1,1,1,1,0,4.817582418,4.596129032,4.360520275,4.184434655,4.06215253,3.944083045,3.845614035,1,1,1,1,1,1,1,1988
68,0,16,1,10,1,1,25.12044077,22.5584466,0,21.46569948,10.73991968,3.238421559,1,1,0,1,1,1,35.06553197,2.958996283,2.911,0,2.881284869,6.395690323,1.341698546,1.739759178,1,1,0,1,1,1,1,1985
63,0,14,1,2,0,1,36.783,31.62243344,30.66528497,31.25140562,29.95803657,30.6635539,1,1,1,1,1,1,0,32.482,41.53029577,40.90683347,42.42580645,43.01820964,42.97092511,43.35566643,1,1,1,1,1,1,1,1986
59,0,8,1,1,0,1,8.753531353,6.257989637,4.919895582,7.721578441,9.042,6.545,1,1,1,1,1,1,0,4.60493662,4.133856298,2.473070968,2.236443764,8.30610279,8.199298646,6.733763322,1,1,1,1,1,1,1,1987
60,0,14,1,1,0,1,35.80990099,36.79834197,33.9748996,39.87372474,40.33605948,42,1,1,1,1,1,1,0,42.25774648,41.69061708,42.42580645,40.87652334,31.17806167,34.3150335,36.4243654,1,1,1,1,1,1,1,1987
73,0,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
57,0,16,1,2,0,1,35.80990099,36.79834197,39.28433735,39.87372474,40.33605948,42,1,1,1,1,1,1,0,42.25774648,41.69061708,42.42580645,43.018,42.97092511,43.35566643,43.6883045,1,1,1,1,1,1,1,1987
53,0,16,1,1,0,0,26.0624573,24.89941748,26.56805281,27.6214715,27.49243373,29.02975938,1,1,1,1,1,1,0,24.80769517,2.262,3.557176056,3.235191885,3.093548387,3.149637337,3.572863436,1,1,1,1,1,1,1,1985
49,0,16,1,2,0,1,0,0,0.602860286,0.908601036,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.50856975,0,0,0,0,0,0,1,1985
48,0,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.83693863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
47,0,16,1,2,0,1,1.962534435,0,0,0,0,0,1,0,0,0,0,0,0,0,0.225,0.096478873,0,0.132580645,43.01820964,42.97092511,0,1,1,0,1,1,1,1985
51,0,12,1,10,1,0,25.52389879,31.36604352,24.36399197,24.71432531,22.25205948,1.51,1,1,1,1,1,1,32.61854225,1.580323944,0,0,0,0,0,0,1,0,0,0,0,0,0,1987
45,0,16,1,2,0,1,10.37475728,10.39933993,10.33533679,10.01365462,10.94417709,10.59330855,1,1,1,1,1,1,0,11.15,9.647887324,0,0,0,0,0,1,1,0,0,0,0,0,1986
44,0,13,0,4,1,1,0,3.895683168,0,0,0.438821944,11.80848327,0,1,0,0,1,1,22.5384,13.752,15.69807746,16.65493829,17.8312129,17.52090589,17.80879295,16.91027227,1,1,1,1,1,1,1,1986
29,0,13,0,2,1,0,13.17732013,14.75795233,14.68265863,17.27439461,16.75983643,17.006,1,1,1,1,1,1,14.47183099,8.532591549,21.44935926,20.98574839,20.6470635,19.8833069,20.74275695,18.48106298,1,1,1,1,1,1,1,1987
38,0,13,1,10,1,1,0,26.74408801,29.01163109,30.10258635,37.62054283,40.33605948,0,1,1,1,1,1,52,42,42.25774648,43.018,38.53765806,43.36,43.688,44.816,1,1,1,1,1,1,1,1986
28,0,14,0,1,0,1,8.66310231,9.673193782,5.558128514,1.559083734,7.463189591,18.957,1,1,1,1,1,1,0,22.25864085,22.595388,23.94052903,24.55056771,25.06315419,28.03588311,27.63967889,1,1,1,1,1,1,1,1987
23,0,12,1,1,1,1,0,0,0,3.251079885,6.058557621,8.427,0,0,0,1,1,1,31.65954225,16.05215493,17.35626712,18.95549677,8.891268554,17.77580029,22.6121283,20.34615917,1,1,1,1,1,1,1,1987
83,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
75,0,12,0,2,0,0,7.159568757,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
64,0,16,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.91973979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
62,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
61,0,17,1,2,0,0,0,0,0,0,0,0.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
55,0,12,0,2,0,1,3.720281553,4.756567657,4.882594819,7.623582329,7.214190568,9.042,1,1,1,1,1,1,0,9.995,7.699978873,11.29815723,11.65383871,11.44804285,10.35888987,11.08655167,1,1,1,1,1,1,1,1986
53,0,15,1,2,0,1,17.79522992,17.30430674,20.43665863,20.10985948,20.02237175,20.04,1,1,1,1,1,1,0,18.00874648,18.26975486,10.37222581,0,0,0,0,1,1,1,0,0,0,0,1987
50,0,16,1,10,0,1,2.37768595,1.92731068,4.148884488,2.179506736,1.532859438,0,1,1,1,1,1,0,0,0,42,0,1.626860524,0,43.688,1.266596182,0,1,0,1,0,1,1,1985
53,0,12,1,4,1,1,14.61212761,16.05270881,16.61276305,0,0,0,1,1,1,0,0,0,28.62204965,0,0.703181741,0,0,0,0,0,0,1,0,0,0,0,0,1987
50,0,16,1,2,0,1,6.602601942,3.439920792,6.285247668,1.306176707,6.545409047,1.089888476,1,1,1,1,1,1,0,1.616,1.144239437,2.24202874,0,18.4441622,29.30552717,28.42881825,1,1,1,0,1,1,1,1986
47,0,12,1,2,0,1,33.21061157,26.57267961,28.24038724,28.70043523,30.84865863,33.31776708,1,1,1,1,1,1,0,39.77176208,38.617,33.80137324,39.93312595,37.24455484,36.34074369,32.34648458,1,1,1,1,1,1,1,1985
46,1,13,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,131.0320967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
47,0,12,1,10,1,1,22.61443526,20.17092233,16.96087129,12.00829845,16.44990361,17.85140327,1,1,1,1,1,1,22.58350781,10.47922677,19.734,21.41638028,20.10599493,19.89328387,17.99385463,17.43058443,1,1,1,1,1,1,1,1985
45,0,14,0,0,0,1,2.326339806,9.753073707,12.04350674,12.74925301,10.89248893,16.26785874,1,1,1,1,1,1,0,22.923,26.8780493,27.33978022,15.0426,27.44276664,29.93158297,30.20132288,1,1,1,1,1,1,1,1986
38,0,16,1,5,1,1,21.90319018,21.63316804,23.68636893,22.9689769,28.97983005,30.05636948,1,1,1,1,1,1,37.33573051,33.43802117,31.82372491,22.824,27.60839437,41.69061708,42.42580645,27.51656006,1,1,1,1,1,1,1,1984
42,0,12,0,2,1,1,0,0.27490429,1.921691192,6.415341365,9.922017324,10.6941487,0,1,1,1,1,1,12.656,9.931,11.04007746,10.81639899,11.58578065,14.00230145,14.52320705,15.8314583,1,1,1,1,1,1,1,1986
