id,nearc4,educ,black,smsa,south,exper,lwage,expersq,expersq_100
121,1,12,0,1,0,6,6.383506775,36,0.36
125,1,9,1,1,0,9,5.361292362,81,0.81
127,1,16,0,1,0,12,7.354362488,144,1.44
129,1,16,0,1,0,6,6.651571751,36,0.36
131,1,12,0,1,1,8,6.396929741,64,0.64
133,1,18,0,1,0,0,6.54102993,0,0
135,1,13,0,1,0,12,6.345636368,144,1.44
136,1,14,0,1,0,8,6.070737839,64,0.64
137,1,15,0,1,0,7,6.287858486,49,0.49
138,1,12,0,1,0,7,6.440946579,49,0.49
139,1,8,0,1,0,17,6.175867081,289,2.89
141,1,12,0,1,0,8,6.300786018,64,0.64
142,1,12,0,1,0,7,6.356107712,49,0.49
144,1,16,0,1,0,3,6.551080227,9,0.09
147,1,16,0,1,0,6,6.669497967,36,0.36
148,1,17,0,1,0,4,6.919683933,16,0.16
149,1,12,0,1,0,6,6.630683422,36,0.36
150,1,14,0,1,0,9,6.398594856,81,0.81
151,1,12,0,1,0,6,5.645446777,36,0.36
154,1,12,0,1,0,6,5.52146101,36,0.36
156,1,12,0,1,0,8,6.214608192,64,0.64
157,1,11,0,1,0,14,6.309918404,196,1.96
158,1,12,0,1,0,7,7.041411877,49,0.49
159,1,18,0,1,1,7,6.697034359,49,0.49
164,1,12,1,1,0,10,5.746203423,100,1
166,1,18,0,1,0,1,6.59441328,1,0.01
168,1,16,0,1,0,3,6.43775177,9,0.09
169,1,14,0,1,0,4,6.376727104,16,0.16
170,1,14,0,1,0,6,5.926926136,36,0.36
173,1,16,0,1,1,7,6.705638885,49,0.49
175,1,14,0,1,0,10,6.762729645,100,1
176,1,15,0,1,1,7,5.857933044,49,0.49
177,1,13,0,1,1,5,5.308267593,25,0.25
178,1,13,0,1,1,13,6.224558353,169,1.69
179,1,17,0,1,0,7,6.704414368,49,0.49
181,1,18,0,1,0,2,6.43775177,4,0.04
182,1,18,0,1,0,8,6.645091057,64,0.64
183,1,17,0,1,0,4,6.214608192,16,0.16
188,1,17,0,1,0,4,6.428105354,16,0.16
192,1,12,0,1,0,12,6.47697258,144,1.44
194,1,18,0,1,0,4,6.645091057,16,0.16
195,1,12,0,1,0,8,6.238324642,64,0.64
196,1,18,0,1,0,7,6.43775177,49,0.49
197,1,14,0,1,0,11,7.013015747,121,1.21
198,1,13,0,1,0,9,6.580639362,81,0.81
199,1,14,0,1,0,12,7.050989628,144,1.44
201,1,18,0,0,0,10,6.717804909,100,1
204,1,16,0,1,0,12,6.827629089,144,1.44
205,1,17,0,1,0,5,6.981005669,25,0.25
209,1,12,0,1,0,15,6.43775177,225,2.25
210,1,13,0,1,0,8,6.13122654,64,0.64
213,1,14,1,1,0,4,6.802394867,16,0.16
214,1,18,0,1,0,5,6.525029659,25,0.25
217,1,12,0,1,0,6,6.018593311,36,0.36
218,1,13,0,1,0,8,6.43775177,64,0.64
222,1,18,0,1,0,8,6.912742615,64,0.64
225,1,11,0,1,0,7,6.586171627,49,0.49
226,1,15,0,1,0,6,6.620073318,36,0.36
228,1,14,0,1,0,9,6.270988464,81,0.81
229,1,17,0,1,0,6,6.879355907,36,0.36
232,1,12,0,0,0,8,6.156979084,64,0.64
233,1,12,0,1,0,6,5.783825397,36,0.36
234,1,12,0,1,0,16,6.774223804,256,2.56
237,1,13,0,1,0,15,6.43775177,225,2.25
239,1,12,0,1,0,8,5.820083141,64,0.64
240,1,16,0,1,0,5,6.175867081,25,0.25
241,1,9,0,1,0,14,6.47697258,196,1.96
242,1,16,0,1,0,3,5.948034763,9,0.09
244,1,18,0,1,0,6,6.869014263,36,0.36
245,1,16,0,0,0,7,6.421622276,49,0.49
247,1,14,0,1,0,8,6.55393362,64,0.64
249,1,14,0,1,0,11,6.453625202,121,1.21
250,1,12,0,1,0,10,5.298317432,100,1
252,1,12,0,1,0,9,6.705638885,81,0.81
253,1,14,0,1,0,6,6.357842445,36,0.36
254,1,17,0,1,0,3,6.144185543,9,0.09
255,1,16,0,1,0,7,6.828711987,49,0.49
256,1,16,0,1,1,9,6.675823212,81,0.81
257,1,14,0,1,0,8,6.453625202,64,0.64
259,1,12,0,1,0,7,6.345636368,49,0.49
260,1,16,0,1,0,7,6.558197975,49,0.49
261,1,14,0,1,0,8,6.453625202,64,0.64
263,1,12,0,1,0,12,6.542471886,144,1.44
264,1,13,0,1,0,15,6.421622276,225,2.25
265,1,16,0,1,0,4,6.135564804,16,0.16
266,1,12,0,1,0,16,6.762729645,256,2.56
267,1,18,0,1,1,9,6.6025877,81,0.81
268,1,12,0,1,0,7,7.244227409,49,0.49
270,1,12,0,1,0,13,6.694561958,169,1.69
272,1,16,0,1,0,4,6.483107567,16,0.16
273,1,12,0,1,0,7,5.703782558,49,0.49
275,1,16,0,1,0,8,6.357842445,64,0.64
279,1,16,0,1,0,2,5.579730034,4,0.04
280,1,18,0,0,0,7,6.386879444,49,0.49
282,1,17,0,1,0,3,5.783825397,9,0.09
283,1,16,0,0,0,2,5.953243256,4,0.04
284,1,18,0,1,0,1,6.907755375,1,0.01
285,1,18,0,1,0,4,6.142037392,16,0.16
286,1,16,0,1,0,6,6.086774826,36,0.36
287,1,16,0,1,0,5,6.43775177,25,0.25
288,1,17,0,1,0,4,5.652489185,16,0.16
290,1,14,0,1,0,7,6.47697258,49,0.49
291,1,13,0,1,0,6,6.694561958,36,0.36
292,1,12,0,1,0,6,6.214608192,36,0.36
293,1,16,0,1,0,4,6.722630024,16,0.16
295,1,12,0,1,0,13,6.214608192,169,1.69
297,1,17,0,1,0,9,6.54102993,81,0.81
298,1,12,0,1,0,9,7.003065586,81,0.81
300,1,12,0,1,0,7,6.637258053,49,0.49
302,1,12,0,1,0,9,6.678342342,81,0.81
304,1,16,0,1,0,3,5.808142662,9,0.09
306,1,18,0,1,0,6,6.013715267,36,0.36
307,1,16,0,1,0,5,6.762729645,25,0.25
308,1,12,0,1,0,13,6.788971901,169,1.69
309,1,12,0,1,0,16,6.511745453,256,2.56
312,1,12,0,0,0,15,6.551080227,225,2.25
313,1,18,0,1,1,9,5.52146101,81,0.81
314,1,11,0,1,0,10,6.43775177,100,1
315,1,13,0,1,0,12,6.0330863,144,1.44
316,1,13,0,1,0,9,6.356107712,81,0.81
317,1,12,1,1,0,8,6.418365002,64,0.64
318,1,12,0,1,0,13,6.551080227,169,1.69
320,1,12,0,1,0,6,6.109247684,36,0.36
322,1,16,0,1,0,6,6.214608192,36,0.36
323,1,12,0,0,0,7,6.242223263,49,0.49
324,1,16,0,1,0,3,5.52146101,9,0.09
325,1,12,0,0,0,6,5.752572536,36,0.36
326,1,12,0,1,0,11,5.926926136,121,1.21
330,1,15,0,0,0,13,6.12468338,169,1.69
331,1,12,1,1,0,9,5.616771221,81,0.81
332,1,12,0,1,0,10,6.857513905,100,1
333,1,16,0,1,0,10,7.016609669,100,1
335,1,16,0,0,0,3,5.666426659,9,0.09
336,1,16,0,1,0,3,6.214608192,9,0.09
339,1,18,0,1,0,8,6.587550163,64,0.64
340,1,18,0,1,0,5,7.142827511,25,0.25
341,1,17,1,1,0,3,6.418365002,9,0.09
345,1,12,0,1,0,10,6.300786018,100,1
346,1,13,0,1,0,9,5.627621174,81,0.81
348,1,18,0,1,0,10,7.273786545,100,1
349,1,16,0,1,0,5,6.902742863,25,0.25
350,1,12,0,1,0,11,6.551080227,121,1.21
352,1,16,0,1,0,6,6.357842445,36,0.36
353,1,16,0,1,0,9,6.754603863,81,0.81
355,1,12,0,1,0,10,6.53087759,100,1
356,1,15,0,1,0,10,6.723832607,100,1
358,1,13,0,1,0,14,6.450470448,196,1.96
359,1,12,0,1,0,14,6.535241127,196,1.96
360,1,14,0,1,0,10,6.645091057,100,1
363,1,15,0,1,0,6,5.953243256,36,0.36
364,1,12,0,1,0,6,6.109247684,36,0.36
366,1,12,0,1,0,9,6.421622276,81,0.81
367,1,12,0,1,0,16,6.525029659,256,2.56
368,1,10,0,1,0,16,6.507277489,256,2.56
370,1,11,0,1,0,16,6.684611797,256,2.56
372,1,14,0,1,0,14,6.224558353,196,1.96
374,1,18,0,1,0,6,6.933423042,36,0.36
375,1,15,0,1,0,4,6.645091057,16,0.16
377,1,10,0,1,1,16,5.669880867,256,2.56
378,1,13,0,1,0,9,6.270988464,81,0.81
379,1,16,0,1,0,7,7.050989628,49,0.49
380,1,10,0,1,0,13,6.308098316,169,1.69
381,1,12,0,1,0,8,6.163314819,64,0.64
382,1,12,0,1,0,8,6.109247684,64,0.64
383,1,17,0,1,0,4,6.774223804,16,0.16
384,1,15,0,1,0,4,5.298317432,16,0.16
385,1,13,0,0,0,7,5.703782558,49,0.49
386,1,16,0,0,0,3,6.135564804,9,0.09
387,1,12,0,1,0,12,5.953243256,144,1.44
388,1,15,0,1,0,11,7.156176567,121,1.21
390,1,16,0,1,0,3,6.376727104,9,0.09
391,1,12,0,1,0,9,6.396929741,81,0.81
393,1,16,0,1,0,8,6.214608192,64,0.64
396,1,12,1,1,0,15,6.086774826,225,2.25
397,1,18,0,1,1,2,6.146329403,4,0.04
398,1,17,0,1,0,6,6.834108829,36,0.36
399,1,16,0,1,0,5,6.320768356,25,0.25
400,1,13,0,1,0,5,6.082219124,25,0.25
402,1,12,1,1,0,11,6.396929741,121,1.21
403,1,12,1,1,0,8,6.354370117,64,0.64
404,1,12,1,1,0,8,5.963579178,64,0.64
410,1,12,0,0,0,16,6.678342342,256,2.56
411,1,18,0,1,0,3,6.154858112,9,0.09
412,1,17,0,1,0,3,5.308267593,9,0.09
413,1,17,0,1,0,1,5.298317432,1,0.01
415,1,17,0,1,0,1,5.857933044,1,0.01
416,1,14,0,0,0,4,5.926926136,16,0.16
419,1,16,0,1,0,3,6.175867081,9,0.09
420,1,18,0,1,0,7,6.869014263,49,0.49
421,1,15,0,1,0,6,6.047372341,36,0.36
423,1,15,0,1,0,6,6.214608192,36,0.36
424,1,9,0,1,0,15,6.109247684,225,2.25
425,1,8,0,1,0,14,6.165417671,196,1.96
426,1,12,0,1,0,6,4.912654877,36,0.36
427,1,12,0,1,0,14,6.354370117,196,1.96
428,1,12,0,1,0,15,6.357842445,225,2.25
429,1,12,0,1,0,13,5.736572266,169,1.69
430,1,9,0,1,0,15,6.551080227,225,2.25
433,1,14,0,1,0,12,7.186901093,144,1.44
434,1,10,0,1,0,18,6.311734676,324,3.24
435,1,17,0,1,0,7,6.781057835,49,0.49
439,1,12,0,1,0,7,6.633318424,49,0.49
441,1,12,0,1,0,14,6.56244421,196,1.96
442,1,12,0,1,0,8,6.052089214,64,0.64
443,1,12,0,1,0,8,6.056784153,64,0.64
444,1,16,0,1,0,2,6.356107712,4,0.04
446,1,9,0,1,0,17,5.991464615,289,2.89
449,1,12,0,0,0,13,6.214608192,169,1.69
450,1,12,0,0,0,10,6.274762154,100,1
453,1,16,0,1,0,6,6.511745453,36,0.36
454,1,16,0,1,1,5,6.357842445,25,0.25
458,1,16,0,1,0,2,5.783825397,4,0.04
461,1,11,0,0,0,12,6.214608192,144,1.44
462,1,12,0,0,0,7,6.646390438,49,0.49
464,1,12,0,1,0,8,6.214608192,64,0.64
467,1,16,0,1,0,6,5.968707561,36,0.36
468,1,12,0,1,0,16,6.697034359,256,2.56
469,1,9,1,0,0,19,6.297109127,361,3.61
473,1,9,1,0,0,19,6.385194302,361,3.61
474,1,17,0,1,0,2,6.761572838,4,0.04
475,1,10,1,0,0,12,6.551080227,144,1.44
477,1,12,0,0,0,7,6.234410763,49,0.49
479,1,13,0,1,0,15,6.421622276,225,2.25
481,1,14,0,1,0,9,6.634633541,81,0.81
484,1,10,0,1,0,15,6.200509071,225,2.25
485,1,16,0,1,0,2,6.098074436,4,0.04
486,1,12,0,1,0,7,6.052089214,49,0.49
487,1,16,0,1,0,2,6.620073318,4,0.04
488,1,16,0,1,0,2,6.551080227,4,0.04
489,1,12,0,1,0,6,6.082219124,36,0.36
490,1,12,0,1,0,11,6.410174847,121,1.21
491,1,13,0,1,0,5,6.109247684,25,0.25
492,1,3,0,1,0,17,5.746203423,289,2.89
494,1,7,1,1,0,20,5.52146101,400,4
496,1,14,0,1,0,13,6.214608192,169,1.69
497,0,12,0,1,0,8,5.899897575,64,0.64
499,0,12,0,1,0,8,6.700731277,64,0.64
500,0,12,0,0,0,7,5.786897182,49,0.49
501,0,12,0,0,0,11,6.261491776,121,1.21
502,0,13,0,1,0,9,6.703187943,81,0.81
504,0,12,0,1,0,10,6.620073318,100,1
505,0,17,0,1,0,1,6.26339817,1,0.01
506,0,12,0,1,0,14,7.025538445,196,1.96
508,0,12,0,1,0,10,6.43775177,100,1
509,0,14,0,1,0,5,6.572282314,25,0.25
510,0,12,0,0,0,13,6.38181591,169,1.69
512,0,17,0,1,0,4,6.001414776,16,0.16
514,1,12,0,1,0,10,6.514712811,100,1
515,1,12,0,1,0,7,6.095824718,49,0.49
516,1,12,0,1,0,6,6.190315247,36,0.36
517,1,9,0,1,0,19,6.543911934,361,3.61
518,1,12,0,1,1,7,6.551080227,49,0.49
519,1,12,0,1,1,6,5.783825397,36,0.36
520,1,9,0,1,0,10,6.320768356,100,1
522,1,12,0,1,0,8,5.783825397,64,0.64
523,1,13,0,1,0,7,6.504288197,49,0.49
524,1,18,0,1,0,7,7.784889221,49,0.49
525,1,16,0,1,0,3,6.630683422,9,0.09
526,1,16,0,1,0,12,6.893656254,144,1.44
527,1,12,0,1,0,7,6.357842445,49,0.49
529,1,17,0,0,0,6,5.655992031,36,0.36
531,1,14,0,1,1,8,5.442417622,64,0.64
532,1,12,0,1,0,7,6.24027586,49,0.49
533,1,15,0,1,0,7,6.421622276,49,0.49
534,1,15,0,1,0,4,6.551080227,16,0.16
537,1,18,0,1,0,9,6.570882797,81,0.81
539,1,9,0,1,0,15,6.552507877,225,2.25
540,1,12,1,1,0,6,6.135564804,36,0.36
542,1,18,0,1,0,4,6.766191483,16,0.16
544,1,16,0,0,0,7,6.821107388,49,0.49
545,1,12,0,1,0,9,6.970730305,81,0.81
546,1,12,0,1,1,11,5.991464615,121,1.21
547,1,12,0,1,0,9,6.46146822,81,0.81
548,1,13,0,1,0,5,5.652489185,25,0.25
551,1,17,0,1,1,4,6.463029385,16,0.16
561,1,13,0,1,0,13,5.963579178,169,1.69
562,1,12,0,1,0,7,6.917705536,49,0.49
564,1,12,0,0,0,6,6.705638885,36,0.36
565,1,17,0,1,0,4,6.882437706,16,0.16
567,1,12,1,1,0,11,6.620073318,121,1.21
570,1,15,0,0,0,3,6.137727261,9,0.09
571,1,12,0,1,0,10,7.234898567,100,1
572,1,12,0,1,0,7,6.357842445,49,0.49
575,1,12,0,1,0,9,5.993961334,81,0.81
576,1,10,0,1,0,10,5.768321037,100,1
581,1,12,0,1,0,9,6.242223263,81,0.81
582,1,11,0,1,0,8,5.337538242,64,0.64
583,1,17,0,1,0,4,7.083387852,16,0.16
584,1,14,0,1,0,6,6.43775177,36,0.36
585,1,17,0,1,0,11,6.175867081,121,1.21
588,1,13,0,1,0,8,6.570882797,64,0.64
590,1,11,0,1,0,10,6.43775177,100,1
591,1,12,0,1,0,12,6.315358162,144,1.44
592,1,12,0,1,0,16,6.361302376,256,2.56
593,1,18,0,1,0,4,6.734591484,16,0.16
594,1,18,0,1,0,9,7.561641693,81,0.81
598,1,16,0,1,0,4,6.692083836,16,0.16
601,1,12,1,1,0,11,5.840641499,121,1.21
605,1,12,0,1,0,14,6.869014263,196,1.96
612,1,12,0,0,0,14,6.396929741,196,1.96
615,1,18,0,1,0,10,6.729824066,100,1
616,1,16,0,1,0,2,6.43775177,4,0.04
617,1,16,0,1,0,6,6.33327961,36,0.36
618,1,16,0,1,0,6,7.251345158,36,0.36
619,1,12,0,1,0,7,6.173786163,49,0.49
621,1,12,0,1,0,6,6.396929741,36,0.36
623,1,9,0,1,0,13,5.703782558,169,1.69
624,1,9,0,1,0,10,6.224558353,100,1
626,1,14,1,1,0,5,6.0330863,25,0.25
627,1,12,1,1,0,6,5.703782558,36,0.36
628,1,18,0,1,0,3,6.762729645,9,0.09
629,1,16,0,1,0,3,5.703782558,9,0.09
635,1,12,0,1,0,14,6.580639362,196,1.96
640,1,12,0,1,0,16,6.752270222,256,2.56
641,1,10,0,1,0,14,6.603943825,196,1.96
644,1,17,1,1,0,8,6.964135647,64,0.64
647,1,12,1,1,0,14,6.270988464,196,1.96
648,1,11,0,1,0,17,6.349139214,289,2.89
649,1,12,0,0,0,14,6.690842152,196,1.96
651,1,10,0,1,0,14,5.991464615,196,1.96
652,1,18,0,1,0,5,6.869014263,25,0.25
653,1,18,0,1,0,3,6.705638885,9,0.09
654,1,13,0,1,0,9,6.606650352,81,0.81
655,1,18,0,1,0,6,6.580639362,36,0.36
658,1,18,0,1,0,0,6.816735744,0,0
662,1,17,0,1,0,4,5.93753624,16,0.16
663,1,14,0,1,0,6,5.857933044,36,0.36
667,1,11,0,1,0,16,6.542471886,256,2.56
669,1,12,0,1,1,14,6.921658039,196,1.96
671,1,18,0,1,0,10,7.035268784,100,1
673,1,18,0,1,0,6,7.443663597,36,0.36
675,1,12,0,1,0,8,6.270988464,64,0.64
676,1,17,1,1,0,9,6.511745453,81,0.81
677,1,17,0,1,0,5,6.917705536,25,0.25
679,1,18,0,1,0,4,6.740519524,16,0.16
680,1,11,0,1,0,10,6.565265179,100,1
681,1,16,0,0,0,4,6.709304333,16,0.16
682,1,12,0,1,0,6,6.102558613,36,0.36
685,1,15,0,1,0,4,6.214608192,16,0.16
686,1,16,0,1,0,9,6.955592632,81,0.81
687,1,18,0,1,0,5,7.091742039,25,0.25
689,1,12,0,1,0,15,6.536691666,225,2.25
692,1,16,0,1,0,6,6.473890781,36,0.36
695,1,13,0,1,0,11,6.774223804,121,1.21
703,1,17,0,1,0,2,6.306275368,4,0.04
704,1,7,0,1,0,15,6.396929741,225,2.25
705,1,15,0,1,0,13,7.716015339,169,1.69
706,1,12,0,1,0,13,7.273786545,169,1.69
708,1,12,1,1,0,16,5.768321037,256,2.56
709,1,18,0,1,0,9,7.140452862,81,0.81
710,1,12,0,1,0,6,6.396929741,36,0.36
711,1,11,1,1,0,9,5.703782558,81,0.81
714,1,16,0,1,0,2,6.287858486,4,0.04
715,1,12,0,0,0,15,6.612040997,225,2.25
717,1,12,0,1,0,15,6.740519524,225,2.25
719,1,16,0,1,0,7,6.700731277,49,0.49
721,1,12,0,1,0,10,6.907755375,100,1
727,1,16,0,1,0,4,6.329720974,16,0.16
729,1,18,0,1,0,2,5.652489185,4,0.04
732,1,16,0,1,0,5,6.079933167,25,0.25
733,1,13,0,1,0,6,5.783825397,36,0.36
734,1,16,0,1,0,6,6.363028049,36,0.36
735,1,16,1,1,0,4,6.376727104,16,0.16
742,1,18,0,1,0,5,6.685861111,25,0.25
747,1,14,0,1,0,5,5.743003368,25,0.25
749,1,12,1,1,0,11,5.52146101,121,1.21
750,1,15,1,1,0,6,6.214608192,36,0.36
751,1,12,1,1,0,15,6.620073318,225,2.25
752,1,13,0,1,1,12,5.837730408,144,1.44
753,1,15,0,1,0,7,5.52146101,49,0.49
754,1,16,0,1,0,2,6.551080227,4,0.04
756,1,12,0,1,0,7,5.991464615,49,0.49
757,1,17,0,1,0,4,6.318968296,16,0.16
758,1,15,0,1,0,7,6.549650669,49,0.49
759,1,14,0,1,0,4,7.561641693,16,0.16
762,1,18,0,1,0,8,7.103322029,64,0.64
763,1,16,0,1,0,7,6.421622276,49,0.49
764,1,14,0,1,0,5,6.613384247,25,0.25
765,1,16,0,1,0,2,6.126869202,4,0.04
767,1,18,0,1,0,1,6.472346306,1,0.01
768,1,12,0,1,0,7,6.613384247,49,0.49
770,1,16,0,1,1,3,6.703187943,9,0.09
772,1,16,0,1,0,9,6.762729645,81,0.81
773,1,12,0,1,0,10,6.295266151,100,1
774,1,13,0,1,0,8,5.899897575,64,0.64
775,1,10,0,1,0,8,6.0330863,64,0.64
776,1,16,0,1,0,5,6.48768425,25,0.25
777,1,15,0,1,0,5,6.270988464,25,0.25
778,1,17,0,1,0,6,6.746412277,36,0.36
779,1,12,0,1,0,7,6.49677515,49,0.49
781,1,16,0,1,0,2,6.270988464,4,0.04
784,1,18,0,1,0,4,6.790097237,16,0.16
785,1,17,0,1,1,5,6.762729645,25,0.25
786,1,18,0,1,1,2,5.442417622,4,0.04
791,1,12,0,0,1,14,6.687108517,196,1.96
792,1,13,0,1,0,8,6.278521538,64,0.64
798,1,15,1,1,0,4,6.652863026,16,0.16
799,1,14,1,1,0,4,6.165417671,16,0.16
800,1,16,0,1,0,11,6.762729645,121,1.21
801,1,16,0,0,0,6,6.921658039,36,0.36
802,1,18,0,1,0,8,6.463029385,64,0.64
803,1,16,0,1,0,2,5.808142662,4,0.04
804,1,11,1,1,0,17,6.320768356,289,2.89
805,1,18,0,1,0,2,6.269096375,4,0.04
807,1,12,0,1,0,8,6.453625202,64,0.64
809,1,11,1,1,1,10,6.214608192,100,1
810,1,16,1,1,0,12,7.050989628,144,1.44
813,1,18,0,1,0,2,6.751101494,4,0.04
814,1,12,0,0,0,10,6.171700478,100,1
815,1,18,0,1,1,1,6.705638885,1,0.01
816,1,18,0,1,0,5,6.539586067,25,0.25
817,1,16,0,0,0,11,6.896694183,121,1.21
818,1,16,0,1,1,9,6.102558613,81,0.81
819,1,18,0,1,0,10,6.909753323,100,1
820,1,18,0,1,0,10,7.123672962,100,1
821,1,14,0,0,0,12,6.825459957,144,1.44
822,1,12,0,1,0,10,6.347389221,100,1
824,1,12,0,1,0,13,6.26339817,169,1.69
827,1,12,0,1,0,10,7.050989628,100,1
832,1,12,1,1,0,6,6.173786163,36,0.36
836,1,11,0,1,0,7,6.732210636,49,0.49
838,1,14,0,1,0,13,7.24565506,169,1.69
840,1,13,1,1,0,8,5.991464615,64,0.64
841,1,12,0,1,0,15,6.565265179,225,2.25
845,1,14,0,1,0,4,6.453625202,16,0.16
846,1,13,0,1,0,7,5.961005211,49,0.49
847,1,12,0,1,0,8,6.533788681,64,0.64
850,1,12,0,1,0,16,6.445719719,256,2.56
851,1,15,0,1,0,13,6.950814724,169,1.69
857,1,12,0,1,0,6,6.357842445,36,0.36
862,1,12,0,1,0,7,6.214608192,49,0.49
863,1,12,0,0,0,16,6.660574913,256,2.56
864,1,13,0,1,0,7,6.357842445,49,0.49
865,1,13,0,1,0,6,6.26339817,36,0.36
867,1,17,0,1,0,5,5.953243256,25,0.25
870,1,12,0,1,0,11,6.43775177,121,1.21
871,1,16,0,1,0,6,6.43775177,36,0.36
872,1,13,0,1,0,7,6.163314819,49,0.49
875,1,14,0,1,0,5,6.49072361,25,0.25
876,1,16,0,1,0,2,6.052089214,4,0.04
878,1,14,0,1,0,5,6.261491776,25,0.25
879,0,12,0,1,0,8,6.43775177,64,0.64
880,0,16,0,1,0,9,6.917705536,81,0.81
881,0,12,0,1,0,8,6.398594856,64,0.64
882,0,12,0,1,0,9,6.694561958,81,0.81
883,0,12,0,1,0,10,6.054439545,100,1
885,0,12,0,1,0,12,6.966024399,144,1.44
886,0,12,0,1,0,8,6.025866032,64,0.64
887,0,12,0,1,0,12,6.198478699,144,1.44
888,0,12,0,1,0,9,5.783825397,81,0.81
889,0,12,0,1,0,10,5.616771221,100,1
891,0,12,0,1,0,7,5.673323154,49,0.49
892,0,18,0,1,1,7,6.59441328,49,0.49
893,0,14,0,1,1,6,6.190315247,36,0.36
894,0,14,0,1,0,4,5.820083141,16,0.16
895,0,12,0,1,0,9,6.586171627,81,0.81
897,0,13,0,0,0,6,6.086774826,36,0.36
899,0,16,0,0,0,5,6.463029385,25,0.25
900,0,12,0,1,0,10,5.926926136,100,1
901,0,12,0,1,0,7,6.175867081,49,0.49
902,0,14,0,1,0,9,6.82979393,81,0.81
904,0,12,0,1,0,8,6.242223263,64,0.64
905,0,12,0,1,0,15,6.970730305,225,2.25
908,0,12,0,1,0,10,6.458338261,100,1
909,0,12,0,1,0,14,6.605298042,196,1.96
910,0,12,0,1,0,8,6.200509071,64,0.64
911,0,10,0,1,1,8,6.47697258,64,0.64
912,0,7,0,1,0,18,5.730099678,324,3.24
913,0,16,0,1,0,8,6.444131374,64,0.64
914,0,13,0,0,0,9,6.013715267,81,0.81
915,0,18,0,1,0,9,6.396929741,81,0.81
916,0,12,0,0,0,10,6.613384247,100,1
917,0,17,0,1,0,8,6.43775177,64,0.64
919,0,12,0,0,0,11,6.308098316,121,1.21
920,0,15,0,0,0,3,5.786897182,9,0.09
921,0,9,0,0,0,11,5.552959442,121,1.21
924,1,12,0,1,0,8,6.774223804,64,0.64
925,1,12,0,0,0,7,6.459904671,49,0.49
927,1,11,0,0,0,16,6.502789974,256,2.56
